value,class
0.0885,usable
0.1834,usable
0.3109,usable
0.1521,usable
0.3956,usable
0.1896,usable
0.1416,usable
0.1162,usable
0.1727,usable
0.3054,usable
0.2435,usable
0.1373,usable
0.2692,usable
0.142,usable
0.3273,usable
0.2826,usable
0.2876,usable
0.3007,usable
0.2838,usable
0.3675,usable
0.342,usable
0.3067,usable
0.3685,usable
0.3601,usable
0.3453,usable
0.3291,usable
0.2991,usable
0.311,usable
0.2884,usable
0.2697,usable
0.2979,usable
0.3019,usable
0.3172,usable
0.2047,usable
0.1554,usable
0.244,usable
0.2601,usable
0.2885,usable
0.2462,usable
0.2293,usable
0.2707,usable
0.2708,usable
0.2849,usable
0.2816,usable
0.2649,usable
0.2493,usable
0.2209,usable
0.3022,usable
0.2913,usable
0.2802,usable
0.2787,usable
0.301,usable
0.2732,usable
0.2707,usable
0.257,usable
0.2742,usable
0.2787,usable
0.2403,usable
0.2562,usable
0.239,usable
0.2896,usable
0.2744,usable
0.287,usable
0.2583,usable
0.2968,usable
0.2784,usable
0.2668,usable
0.2674,usable
0.1257,usable
0.0931,usable
0.2024,usable
0.1635,retake
0.1416,usable
0.236,usable
0.2448,usable
0.1601,usable
0.2107,retake
0.2072,usable
0.0684,usable
0.1069,usable
0.2392,usable
0.2394,usable
0.1333,usable
0.1746,usable
0.1847,usable
0.1304,usable
0.1946,usable
0.1499,retake
0.183,usable
0.2237,usable
0.1853,usable
0.193,usable
0.2054,retake
0.1915,retake
0.128,usable
0.1389,usable
0.1378,usable
0.1484,usable
0.0942,usable
0.1388,usable
0.1077,usable
0.2218,usable
0.2981,usable
0.311,usable
0.3162,usable
0.2513,retake
0.2346,retake
0.3023,retake
0.2853,retake
0.3262,retake
0.2386,usable
0.2196,usable
0.2053,usable
0.1759,retake
0.1127,usable
0.2598,usable
0.1613,retake
0.1358,usable
0.1624,retake
0.0759,retake
0.1231,usable
0.1557,retake
0.0,retake
0.0,retake
0.1535,retake
0.2064,retake
0.1364,retake
0.1398,retake
0.0,retake
0.1229,retake
0.201,retake
0.2651,usable
0.1151,usable
0.115,usable
0.2474,usable
0.2597,usable
0.1826,usable
0.2662,retake
0.2635,usable
0.1854,usable
0.0838,usable
0.1714,usable
0.2443,usable
0.2349,retake
0.1234,retake
0.1084,retake
0.1443,retake
0.14,retake
0.2224,retake
0.1153,retake
0.1549,retake
0.1132,retake
0.1568,retake
0.156,usable
0.1208,retake
0.0697,retake
0.164,retake
0.1234,usable
0.1121,usable
0.168,retake
0.0691,retake
0.1183,retake
0.0621,retake
0.1132,retake
0.1272,retake
0.0934,retake
0.2051,usable
0.2445,usable
0.1401,usable
0.2273,usable
0.0677,retake
0.1832,usable
0.142,usable
0.151,usable
0.1046,usable
0.1703,usable
0.1995,retake
0.0966,retake
0.1531,retake
0.1383,retake
0.2558,usable
0.1729,usable
0.1837,usable
0.1933,usable
0.2677,usable
0.2176,usable
0.1698,usable
0.2027,usable
0.1926,usable
0.1938,usable
0.1904,usable
0.1939,usable
0.1989,usable
0.1808,usable
0.1697,usable
0.1854,usable
0.173,usable
0.1186,retake
0.1913,usable
0.1856,usable
0.2687,usable
0.1127,usable
0.1905,usable
0.1785,usable
0.1138,usable
0.1438,usable
0.1068,usable
0.2621,retake
0.1043,usable
0.1864,usable
0.1185,retake
0.1878,usable
0.185,usable
0.1535,usable
0.1253,usable
0.1143,retake
0.1211,retake
0.1427,retake
0.1294,usable
0.1729,retake
0.1847,retake
0.1185,retake
0.133,retake
0.1698,retake
0.2402,retake
0.2683,usable
0.3314,usable
0.1299,usable
0.1085,retake
0.1029,retake
0.168,retake
0.1731,retake
0.1525,retake
0.2324,retake
0.0064,retake
0.0573,usable
0.0627,retake
0.1336,usable
0.1084,retake
0.0317,retake
0.0319,retake
0.0287,retake
0.0211,retake
0.0077,retake
0.2252,retake
0.0067,retake
0.0282,retake
0.1519,retake
0.255,retake
0.1528,retake
0.0814,usable
0.026,retake
0.0973,retake
0.0908,retake
0.1368,usable
0.0442,retake
0.1938,usable
0.0203,retake
0.005,retake
0.1591,usable
0.2714,usable
0.0735,retake
0.0835,retake
0.2291,retake
0.0536,retake
0.1307,usable
0.0883,retake
0.2737,retake
0.1812,retake
0.1631,retake
0.1134,retake
0.0295,retake
0.0501,retake
0.1209,retake
0.0867,retake
0.0087,retake
0.0109,retake
0.0107,retake
0.1383,retake
0.135,retake
0.1619,retake
0.0047,retake
0.0529,retake
0.1665,retake
0.0808,retake
0.0,retake
0.0,retake
0.0005,retake
0.0757,retake
0.026,retake
0.0,retake
0.0232,retake
0.0276,retake
0.0959,usable
0.021,retake
0.1362,usable
0.122,usable
0.1436,usable
0.0714,usable
