value,class
52.68,usable
31.21,usable
52.04,usable
46.78,usable
71.06,usable
48.58,usable
27.69,usable
20.74,usable
52.6,usable
49.45,usable
33.47,usable
95.33,usable
53.29,usable
59.96,usable
47.55,usable
44.73,usable
49.76,usable
46.18,usable
45.21,usable
50.29,usable
50.81,usable
44.87,usable
50.41,usable
50.01,usable
47.58,usable
46.42,usable
53.07,usable
48.54,usable
44.43,usable
50.72,usable
45.98,usable
46.6,usable
46.41,usable
37.92,usable
44.62,usable
45.43,usable
54.67,usable
51.53,usable
50.12,usable
34.72,usable
49.28,usable
46.89,usable
46.97,usable
49.43,usable
50.21,usable
50.72,usable
41.59,usable
49.37,usable
50.4,usable
47.62,usable
49.92,usable
50.91,usable
49.92,usable
50.2,usable
48.77,usable
49.63,usable
47.02,usable
47.52,usable
50.65,usable
47.97,usable
47.61,usable
48.72,usable
48.67,usable
48.81,usable
49.7,usable
48.82,usable
47.28,usable
50.6,usable
57.49,usable
62.64,usable
59.99,usable
62.6,retake
62.89,usable
63.95,usable
64.47,usable
60.93,usable
64.77,retake
61.96,usable
64.65,usable
66.16,usable
65.5,usable
66.04,usable
62.8,usable
60.55,usable
67.34,usable
64.73,usable
62.3,usable
57.03,retake
64.94,usable
55.53,usable
60.9,usable
56.81,usable
60.66,retake
58.66,retake
68.0,usable
64.42,usable
66.67,usable
63.74,usable
61.98,usable
62.64,usable
58.1,usable
37.92,usable
36.92,usable
41.18,usable
43.74,usable
42.81,retake
51.66,retake
46.37,retake
47.65,retake
42.98,retake
44.12,usable
41.12,usable
30.38,usable
74.41,retake
24.48,usable
26.18,usable
24.06,retake
27.98,usable
31.23,retake
28.23,retake
38.12,usable
24.03,retake
1.31,retake
1.01,retake
28.67,retake
34.09,retake
22.85,retake
23.82,retake
1.38,retake
26.66,retake
38.68,retake
39.16,usable
22.58,usable
22.59,usable
29.83,usable
39.06,usable
27.3,usable
38.68,retake
38.61,usable
26.86,usable
36.67,usable
37.3,usable
43.08,usable
32.88,retake
28.47,retake
22.23,retake
46.87,retake
26.59,retake
59.46,retake
18.02,retake
36.53,retake
46.42,retake
29.23,retake
31.82,usable
31.44,retake
29.25,retake
37.58,retake
52.08,usable
41.81,usable
41.35,retake
50.2,retake
27.64,retake
54.98,retake
45.37,retake
48.63,retake
49.99,retake
53.96,usable
64.62,usable
29.87,usable
33.34,usable
50.46,retake
48.12,usable
23.0,usable
38.53,usable
46.25,usable
21.81,usable
25.52,retake
24.31,retake
30.81,retake
25.91,retake
37.59,usable
27.69,usable
29.05,usable
29.4,usable
38.95,usable
33.53,usable
29.77,usable
27.67,usable
30.02,usable
32.83,usable
29.36,usable
29.34,usable
29.95,usable
30.76,usable
28.12,usable
35.04,usable
34.02,usable
25.57,retake
25.87,usable
28.62,usable
40.78,usable
25.98,usable
29.46,usable
21.75,usable
13.85,usable
24.25,usable
25.66,usable
40.41,retake
13.39,usable
27.65,usable
24.94,retake
28.52,usable
25.22,usable
20.81,usable
14.42,usable
22.83,retake
19.96,retake
20.93,retake
13.59,usable
40.54,retake
31.72,retake
37.18,retake
26.58,retake
36.9,retake
31.42,retake
33.34,usable
49.19,usable
49.82,usable
40.79,retake
35.73,retake
41.08,retake
48.3,retake
42.51,retake
38.75,retake
10.0,retake
14.48,usable
23.97,retake
22.27,usable
25.44,retake
44.59,retake
23.74,retake
19.87,retake
16.58,retake
19.11,retake
29.4,retake
29.05,retake
44.63,retake
58.21,retake
44.0,retake
40.19,retake
21.13,usable
23.68,retake
53.15,retake
44.61,retake
52.42,usable
25.57,retake
31.92,usable
20.77,retake
5.86,retake
46.51,usable
45.34,usable
27.04,retake
40.71,retake
48.67,retake
23.17,retake
42.32,usable
21.42,retake
32.41,retake
36.57,retake
34.97,retake
40.75,retake
11.05,retake
23.3,retake
37.42,retake
15.92,retake
7.87,retake
9.11,retake
11.14,retake
55.45,retake
33.4,retake
33.39,retake
23.71,retake
46.88,retake
46.81,retake
38.27,retake
0.84,retake
6.07,retake
7.57,retake
43.41,retake
18.94,retake
7.84,retake
23.69,retake
24.57,retake
25.36,usable
25.61,retake
33.49,usable
30.56,usable
37.89,usable
44.69,usable
