value,class
0.002974,usable
0.003529,usable
0.01,usable
0.003151,usable
0.003938,usable
0.01,usable
0.01,usable
0.003689,usable
0.01,usable
0.01,usable
0.003493,usable
0.01,usable
0.01,usable
0.00604,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.010119,usable
0.009009,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,retake
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,retake
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.004724,retake
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,retake
0.007527,retake
0.008021,usable
0.01,usable
0.005261,usable
0.005888,usable
0.004131,usable
0.005957,usable
0.003944,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.005133,retake
0.002912,retake
0.004924,retake
0.004585,retake
0.006111,retake
0.005167,usable
0.01,usable
0.002694,usable
0.004475,retake
0.01,usable
0.01,usable
0.01,retake
0.01,usable
0.004064,retake
0.012309,retake
0.01,usable
0.001646,retake
0.015676,retake
0.012249,retake
0.000898,retake
0.002486,retake
0.003442,retake
0.01303,retake
0.009208,retake
0.01,retake
0.00539,retake
0.006922,usable
0.002579,usable
0.002584,usable
0.005232,usable
0.008683,usable
0.004058,usable
0.006506,retake
0.008204,usable
0.003803,usable
0.014965,usable
0.013639,usable
0.007404,usable
0.001632,retake
0.004264,retake
0.000841,retake
0.011357,retake
0.003415,retake
0.01786,retake
0.007856,retake
0.004455,retake
0.005108,retake
0.003722,retake
0.006213,usable
0.002692,retake
0.002031,retake
0.01,retake
0.005834,usable
0.005535,usable
0.005887,retake
0.003753,retake
0.004129,retake
0.00342,retake
0.01,retake
0.005527,retake
0.004536,retake
0.006832,usable
0.01,usable
0.005894,usable
0.01,usable
0.003545,retake
0.01,usable
0.01,usable
0.01,usable
0.006867,usable
0.01,usable
0.004399,retake
0.01,retake
0.004808,retake
0.003288,retake
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.01,usable
0.002424,retake
0.011583,usable
0.01,usable
0.0073,usable
0.010233,usable
0.01,usable
0.010705,usable
0.017436,usable
0.014111,usable
0.00953,usable
0.006873,retake
0.016064,usable
0.01,usable
0.002233,retake
0.01,usable
0.01075,usable
0.008523,usable
0.011837,usable
0.00806,retake
0.001778,retake
0.00137,retake
0.011201,usable
0.004939,retake
0.004195,retake
0.000885,retake
0.004624,retake
0.004438,retake
0.01,retake
0.008514,usable
0.010532,usable
0.01,usable
0.002126,retake
0.006248,retake
0.006072,retake
0.01,retake
0.01,retake
0.003039,retake
0.014847,retake
0.011365,usable
0.005567,retake
0.009636,usable
0.0062,retake
0.00101,retake
0.000706,retake
0.000554,retake
0.000636,retake
0.000347,retake
0.008969,retake
0.001129,retake
0.001294,retake
0.006246,retake
0.006882,retake
0.003408,retake
0.013573,usable
0.006955,retake
0.004915,retake
0.002683,retake
0.01,usable
0.009979,retake
0.01,usable
0.000594,retake
0.013459,retake
0.01,usable
0.01,usable
0.001512,retake
0.004195,retake
0.01,retake
0.006477,retake
0.004813,usable
0.012559,retake
0.002131,retake
0.00446,retake
0.003233,retake
0.00074,retake
0.006411,retake
0.006495,retake
0.01,retake
0.005314,retake
0.009307,retake
0.002472,retake
0.00805,retake
0.003548,retake
0.00186,retake
0.001796,retake
0.000426,retake
0.00244,retake
0.005049,retake
0.002293,retake
0.00195,retake
0.001281,retake
0.005014,retake
0.002763,retake
0.002925,retake
0.001945,retake
0.001466,retake
0.001543,retake
0.010371,usable
0.004285,retake
0.00914,usable
0.008603,usable
0.009276,usable
0.004642,usable
