value,class
0.0,usable
0.4019,usable
0.31,usable
0.0,usable
0.2065,usable
0.0441,usable
0.2317,usable
0.0,usable
0.0414,usable
0.0,usable
0.0001,usable
0.2964,usable
0.2216,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0003,usable
0.0001,usable
0.0001,retake
0.0036,usable
0.0012,usable
0.0001,usable
0.0003,usable
0.0002,retake
0.0005,usable
0.0,usable
0.0007,usable
0.0005,usable
0.0001,usable
0.0002,usable
0.0,usable
0.0001,usable
0.0005,usable
0.0004,usable
0.0,retake
0.0027,usable
0.0013,usable
0.0,usable
0.0,usable
0.0103,retake
0.0007,retake
0.0004,usable
0.0033,usable
0.0079,usable
0.0,usable
0.0,usable
0.0,usable
0.0003,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0077,usable
0.0242,usable
0.1257,retake
0.0,usable
0.0,usable
0.0,retake
0.0,usable
0.0,retake
0.0,retake
0.0,usable
0.7477,retake
0.0,retake
0.0,retake
0.8328,retake
0.4915,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.7255,retake
0.0,retake
0.6977,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0047,usable
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0001,retake
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0002,usable
0.057,retake
0.0,usable
0.1022,usable
0.0,usable
0.0,usable
0.0713,usable
0.0,usable
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0,usable
0.0958,usable
0.0547,retake
0.0676,usable
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0268,retake
0.0,retake
0.0,usable
0.0,retake
0.0,retake
0.0496,retake
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0,usable
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.7652,retake
0.0,retake
0.0,usable
0.0,retake
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0103,retake
0.0001,retake
0.0004,retake
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0,retake
0.0,usable
0.0,retake
0.0,retake
0.0028,usable
0.0,usable
0.4593,retake
0.0272,retake
0.0144,retake
0.0,retake
0.0,usable
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.7208,retake
0.0,retake
0.0,retake
0.0016,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0069,retake
0.2628,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,retake
0.0,usable
0.0,retake
0.0,usable
0.0,usable
0.0,usable
0.0,usable
