value,class
1625.79,usable
3154.57,usable
3526.25,usable
1145.43,usable
1884.06,usable
6382.05,usable
3878.4,usable
3014.72,usable
6751.58,usable
6558.2,usable
2162.76,usable
3640.33,usable
4275.98,usable
1552.28,usable
6450.05,usable
6430.92,usable
6197.8,usable
6296.43,usable
6079.15,usable
6185.03,usable
6565.0,usable
6692.7,usable
5665.75,usable
7034.6,usable
6562.17,usable
6916.02,usable
6194.48,usable
6173.83,usable
6751.65,usable
5953.0,usable
5891.98,usable
6075.0,usable
5791.43,usable
2110.79,usable
2615.45,usable
5689.35,usable
4329.82,usable
6067.4,usable
3625.75,usable
3608.7,usable
7283.65,usable
4643.6,usable
6413.6,usable
5368.12,usable
4498.5,usable
3717.72,usable
5091.52,usable
4878.65,usable
6222.27,usable
5490.95,usable
4947.2,usable
5077.57,usable
6132.47,usable
7256.35,usable
6267.7,usable
6410.7,usable
4913.23,usable
6787.88,usable
7588.95,usable
6710.92,usable
6732.9,usable
6290.12,usable
6963.8,usable
6353.52,usable
6521.2,usable
6843.45,usable
5673.52,usable
7369.18,usable
6541.68,usable
3693.32,usable
3498.9,usable
3463.5,retake
4131.58,usable
5174.65,usable
4396.35,usable
3856.6,usable
3739.95,retake
4224.6,usable
4056.78,usable
4947.5,usable
4075.98,usable
3537.6,usable
3641.2,usable
3358.22,usable
4109.48,usable
4854.78,usable
6226.02,usable
728.48,retake
8063.95,usable
4126.38,usable
5341.15,usable
4933.55,usable
3328.05,retake
1569.55,retake
1390.0,usable
4030.88,usable
2246.94,usable
1990.6,usable
1673.44,usable
1342.41,usable
1318.03,usable
5780.95,usable
7372.62,usable
6599.92,usable
8004.27,usable
1107.02,retake
329.3,retake
1093.12,retake
1357.48,retake
1203.04,retake
1767.9,usable
4559.52,usable
1764.47,usable
1543.99,retake
4995.65,usable
4234.15,usable
5620.7,retake
12771.25,usable
1791.59,retake
1002.45,retake
5420.68,usable
3149.78,retake
3.08,retake
2.87,retake
1558.36,retake
4504.32,retake
1062.54,retake
2421.56,retake
1.33,retake
3767.33,retake
861.96,retake
2212.49,usable
901.74,usable
909.78,usable
2009.38,usable
1614.73,usable
1853.1,usable
1381.57,retake
1010.43,usable
1192.35,usable
2343.88,usable
1396.9,usable
1502.02,usable
1292.14,retake
1054.88,retake
247.16,retake
2428.96,retake
846.84,retake
1788.53,retake
379.04,retake
1784.97,retake
548.44,retake
672.51,retake
1437.11,usable
277.83,retake
765.79,retake
3285.77,retake
3436.68,usable
2691.43,usable
4304.95,retake
1062.81,retake
3398.76,retake
541.03,retake
4018.78,retake
2419.85,retake
1882.16,retake
2130.5,usable
4068.22,usable
3192.9,usable
4436.27,usable
1352.53,retake
4898.5,usable
5648.25,usable
5484.97,usable
2817.36,usable
5155.0,usable
1787.8,retake
4641.1,retake
1373.81,retake
1563.22,retake
6838.83,usable
5447.1,usable
6489.3,usable
6167.0,usable
8390.05,usable
5110.5,usable
7495.15,usable
5257.78,usable
7022.85,usable
8236.4,usable
5637.83,usable
5081.18,usable
7391.98,usable
6127.22,usable
4681.73,usable
6303.6,usable
5487.12,usable
3052.05,retake
2068.02,usable
5706.55,usable
2048.45,usable
1271.18,usable
5550.82,usable
1717.61,usable
794.27,usable
1402.43,usable
790.29,usable
1333.43,retake
510.67,usable
3699.28,usable
1935.2,retake
3652.02,usable
1325.68,usable
2317.53,usable
1003.02,usable
574.05,retake
2028.3,retake
298.94,retake
1149.73,usable
2270.71,retake
1884.07,retake
198.52,retake
1873.8,retake
2470.16,retake
3086.58,retake
508.29,usable
1163.43,usable
3057.07,usable
49.47,retake
870.91,retake
283.27,retake
6184.35,retake
7938.18,retake
2799.58,retake
203.9,retake
327.17,usable
47.87,retake
990.15,usable
345.21,retake
44.99,retake
35.05,retake
18.86,retake
26.54,retake
12.23,retake
1999.79,retake
19.17,retake
36.59,retake
2594.11,retake
1521.43,retake
53.34,retake
1021.4,usable
69.75,retake
1534.76,retake
504.23,retake
3137.53,usable
678.51,retake
9101.83,usable
39.6,retake
8.93,retake
5405.85,usable
4923.88,usable
848.05,retake
2117.98,retake
7346.68,retake
660.94,retake
3175.73,usable
906.67,retake
57.04,retake
2904.19,retake
689.2,retake
73.89,retake
91.47,retake
407.82,retake
3790.5,retake
698.01,retake
61.17,retake
5.15,retake
61.34,retake
479.08,retake
49.85,retake
1326.44,retake
16.61,retake
849.35,retake
1107.64,retake
228.9,retake
1.43,retake
2.06,retake
17.56,retake
1150.89,retake
7.95,retake
3.68,retake
4.6,retake
4.72,retake
343.01,usable
14.66,retake
870.0,usable
569.79,usable
396.2,usable
1662.25,usable
