value,class
557.57,usable
1710.82,usable
1410.5,usable
603.23,usable
1092.3,usable
2552.82,usable
1551.36,usable
1175.98,usable
2700.63,usable
2623.28,usable
1433.7,usable
1456.13,usable
1710.39,usable
1053.33,usable
2580.02,usable
2572.37,usable
2479.12,usable
2518.57,usable
2431.66,usable
2474.01,usable
2626.0,usable
2677.08,usable
2266.3,usable
2813.84,usable
2624.87,usable
2766.41,usable
2477.79,usable
2469.53,usable
2700.66,usable
2381.2,usable
2356.79,usable
2430.0,usable
2316.57,usable
992.73,usable
1091.84,usable
2275.74,usable
1731.93,usable
2426.96,usable
1450.3,usable
1443.48,usable
2913.46,usable
1857.44,usable
2565.44,usable
2147.25,usable
1799.4,usable
1487.09,usable
2036.61,usable
1951.46,usable
2488.91,usable
2196.38,usable
1978.88,usable
2031.03,usable
2452.99,usable
2902.54,usable
2507.08,usable
2564.28,usable
1965.29,usable
2715.15,usable
3035.58,usable
2684.37,usable
2693.16,usable
2516.05,usable
2785.52,usable
2541.41,usable
2608.48,usable
2737.38,usable
2269.41,usable
2947.67,usable
2616.67,usable
1477.33,usable
1399.56,usable
1385.4,retake
1652.63,usable
2069.86,usable
1758.54,usable
1542.64,usable
1495.98,retake
1689.84,usable
1622.71,usable
1979.0,usable
1630.39,usable
1415.04,usable
1456.48,usable
1343.29,usable
1643.79,usable
1941.91,usable
2490.41,usable
474.59,retake
3225.58,usable
1650.55,usable
2136.46,usable
1973.42,usable
1331.22,retake
1110.31,retake
933.2,usable
1612.35,usable
1244.77,usable
1118.98,usable
983.07,usable
968.62,usable
637.38,usable
2312.38,usable
2949.05,usable
2639.97,usable
3201.71,usable
505.06,retake
170.46,retake
555.15,retake
622.09,retake
762.77,retake
1021.87,usable
1823.81,usable
1098.35,usable
762.42,retake
1998.26,usable
1693.66,usable
2248.28,retake
5108.5,usable
1000.21,retake
334.99,retake
2168.27,usable
1334.7,retake
2.53,retake
1.89,retake
516.2,retake
1442.27,retake
594.31,retake
1280.17,retake
1.04,retake
1506.93,retake
390.09,retake
1442.77,usable
620.34,usable
628.42,usable
1065.83,usable
1089.3,usable
820.76,usable
907.87,retake
729.39,usable
541.66,usable
1097.27,usable
624.45,usable
763.68,usable
492.94,retake
569.29,retake
119.01,retake
912.86,retake
622.56,retake
860.31,retake
203.83,retake
1032.02,retake
255.41,retake
466.39,retake
761.53,usable
117.06,retake
368.15,retake
1314.31,retake
1411.84,usable
1382.51,usable
1567.42,retake
444.52,retake
1792.45,retake
300.5,retake
1607.51,retake
1056.69,retake
774.78,retake
1333.26,usable
1627.29,usable
1973.86,usable
1774.51,usable
439.51,retake
1959.4,usable
2259.3,usable
2193.99,usable
1449.27,usable
2062.0,usable
770.91,retake
1856.44,retake
794.83,retake
621.23,retake
2735.53,usable
2178.84,usable
2595.72,usable
2466.8,usable
3356.02,usable
2044.2,usable
2998.06,usable
2103.11,usable
2809.14,usable
3294.56,usable
2255.13,usable
2032.47,usable
2956.79,usable
2450.89,usable
1872.69,usable
2521.44,usable
2194.85,usable
1287.89,retake
1407.54,usable
2282.62,usable
1143.03,usable
712.86,usable
2220.33,usable
1046.86,usable
519.39,usable
925.62,usable
456.05,usable
767.13,retake
334.52,usable
1479.71,usable
837.26,retake
1460.81,usable
925.71,usable
1401.47,usable
558.75,usable
372.13,retake
930.27,retake
158.2,retake
755.84,usable
1179.12,retake
764.42,retake
83.23,retake
862.58,retake
943.64,retake
1234.63,retake
246.98,usable
732.59,usable
1222.83,usable
22.34,retake
356.11,retake
132.36,retake
2473.74,retake
3175.27,retake
1244.93,retake
82.44,retake
140.23,usable
30.49,retake
503.15,usable
168.08,retake
22.83,retake
16.38,retake
11.95,retake
13.81,retake
7.57,retake
949.25,retake
10.56,retake
25.65,retake
1057.57,retake
845.51,retake
29.2,retake
354.85,usable
17.9,retake
812.5,retake
249.34,retake
1255.01,usable
328.47,retake
3640.73,usable
27.78,retake
5.02,retake
2162.34,usable
1969.55,usable
357.64,retake
1000.54,retake
2938.67,retake
254.71,retake
1651.63,usable
312.42,retake
40.33,retake
975.58,retake
253.87,retake
33.15,retake
52.46,retake
247.32,retake
1516.2,retake
347.31,retake
33.35,retake
3.86,retake
25.04,retake
232.02,retake
22.49,retake
721.43,retake
11.88,retake
354.91,retake
565.46,retake
122.03,retake
0.96,retake
1.56,retake
5.93,retake
531.53,retake
4.32,retake
1.9,retake
3.61,retake
3.79,retake
154.66,usable
8.19,retake
391.37,usable
277.52,usable
173.67,usable
939.85,usable
