value,class
155.59,usable
225.25,usable
216.28,usable
176.48,usable
178.44,usable
160.13,usable
215.08,usable
190.05,usable
179.4,usable
132.64,usable
180.41,usable
159.89,usable
201.78,usable
158.7,usable
123.94,usable
126.84,usable
130.21,usable
127.73,usable
129.06,usable
133.67,usable
129.8,usable
124.57,usable
129.62,usable
133.54,usable
131.7,usable
126.83,usable
120.74,usable
134.65,usable
121.82,usable
124.18,usable
129.45,usable
125.84,usable
130.18,usable
116.06,usable
119.57,usable
125.66,usable
129.16,usable
133.11,usable
127.28,usable
114.27,usable
126.42,usable
129.23,usable
128.58,usable
128.22,usable
131.53,usable
130.58,usable
125.95,usable
128.79,usable
130.75,usable
129.37,usable
127.08,usable
129.98,usable
128.12,usable
126.13,usable
124.76,usable
128.46,usable
128.68,usable
128.08,usable
126.32,usable
126.82,usable
127.85,usable
126.52,usable
123.21,usable
122.89,usable
126.69,usable
121.21,usable
124.27,usable
127.28,usable
158.48,usable
145.01,usable
148.69,usable
142.58,retake
155.35,usable
153.45,usable
143.57,usable
152.11,usable
143.52,retake
149.28,usable
136.16,usable
142.2,usable
144.22,usable
141.88,usable
146.39,usable
145.18,usable
142.09,usable
143.92,usable
149.88,usable
149.82,retake
153.34,usable
151.67,usable
138.79,usable
149.05,usable
146.51,retake
148.51,retake
138.21,usable
142.93,usable
153.64,usable
151.22,usable
156.5,usable
153.39,usable
166.5,usable
156.75,usable
158.26,usable
151.63,usable
157.56,usable
156.35,retake
178.48,retake
174.49,retake
171.93,retake
166.8,retake
177.7,usable
194.8,usable
219.72,usable
179.38,retake
168.53,usable
170.58,usable
180.09,retake
180.35,usable
154.14,retake
44.8,retake
150.24,usable
238.9,retake
4.1,retake
3.71,retake
239.52,retake
223.55,retake
153.12,retake
92.72,retake
4.78,retake
109.95,retake
142.02,retake
151.01,usable
164.36,usable
164.37,usable
162.39,usable
154.48,usable
164.97,usable
151.02,retake
154.48,usable
164.98,usable
77.19,usable
65.26,usable
153.28,usable
236.38,retake
157.94,retake
240.21,retake
81.08,retake
159.63,retake
114.43,retake
63.58,retake
140.11,retake
116.03,retake
134.26,retake
117.57,usable
156.0,retake
163.66,retake
149.49,retake
149.81,usable
142.31,usable
146.53,retake
148.47,retake
155.35,retake
151.73,retake
145.07,retake
138.45,retake
145.88,retake
132.41,usable
135.92,usable
160.92,usable
161.75,usable
147.15,retake
152.31,usable
163.26,usable
147.17,usable
139.22,usable
159.03,usable
158.26,retake
170.08,retake
152.25,retake
162.54,retake
164.3,usable
154.73,usable
166.27,usable
154.99,usable
164.28,usable
169.39,usable
164.92,usable
167.15,usable
157.81,usable
166.56,usable
156.21,usable
157.23,usable
157.86,usable
153.07,usable
156.11,usable
164.44,usable
165.48,usable
205.73,retake
95.22,usable
215.53,usable
132.98,usable
71.16,usable
212.07,usable
82.77,usable
45.43,usable
67.81,usable
71.16,usable
132.98,retake
45.45,usable
215.52,usable
205.68,retake
212.05,usable
95.22,usable
98.84,usable
57.29,usable
81.74,retake
215.52,retake
212.57,retake
66.25,usable
160.54,retake
139.02,retake
201.5,retake
151.91,retake
150.75,retake
165.66,retake
85.32,usable
107.03,usable
106.45,usable
112.29,retake
99.04,retake
108.39,retake
131.89,retake
155.75,retake
235.38,retake
21.06,retake
32.94,usable
66.84,retake
69.99,usable
69.59,retake
145.09,retake
140.2,retake
138.5,retake
142.09,retake
133.57,retake
127.67,retake
120.65,retake
124.23,retake
140.76,retake
152.77,retake
144.96,retake
50.58,usable
43.67,retake
119.91,retake
148.9,retake
117.26,usable
51.9,retake
108.54,usable
135.95,retake
12.26,retake
160.95,usable
114.4,usable
227.02,retake
156.89,retake
171.46,retake
50.85,retake
168.83,usable
46.74,retake
192.37,retake
153.58,retake
151.2,retake
228.89,retake
30.37,retake
68.12,retake
187.1,retake
65.14,retake
16.79,retake
21.26,retake
19.87,retake
108.84,retake
143.72,retake
207.44,retake
141.88,retake
126.8,retake
118.34,retake
120.58,retake
6.37,retake
14.84,retake
17.11,retake
134.23,retake
32.1,retake
18.05,retake
48.68,retake
47.64,retake
49.17,usable
45.22,retake
75.11,usable
70.3,usable
66.05,usable
139.31,usable
