value,class
30.35,usable
53.77,usable
55.33,usable
30.68,usable
53.3,usable
66.25,usable
59.86,usable
49.11,usable
66.97,usable
81.89,usable
48.92,usable
57.25,usable
65.53,usable
47.47,usable
84.15,usable
81.61,usable
83.62,usable
81.09,usable
79.67,usable
83.92,usable
85.39,usable
86.27,usable
80.88,usable
85.68,usable
84.16,usable
86.17,usable
81.65,usable
82.19,usable
84.48,usable
81.74,usable
79.35,usable
80.68,usable
79.15,usable
40.92,usable
48.06,usable
73.22,usable
67.28,usable
74.68,usable
60.39,usable
55.79,usable
81.63,usable
67.81,usable
76.97,usable
71.96,usable
67.58,usable
61.93,usable
71.89,usable
78.74,usable
82.58,usable
77.97,usable
80.58,usable
78.75,usable
81.09,usable
89.86,usable
83.4,usable
83.52,usable
73.35,usable
83.28,usable
90.73,usable
84.1,usable
85.44,usable
81.47,usable
87.07,usable
84.46,usable
83.62,usable
86.53,usable
79.84,usable
89.57,usable
66.48,usable
60.94,usable
59.72,usable
61.05,retake
64.81,usable
72.68,usable
64.88,usable
60.33,usable
62.24,retake
66.68,usable
59.95,usable
70.4,usable
64.5,usable
61.0,usable
59.84,usable
55.65,usable
64.54,usable
71.64,usable
80.32,usable
35.67,retake
80.74,usable
64.47,usable
72.59,usable
69.37,usable
61.77,retake
59.72,retake
46.8,usable
55.47,usable
51.72,usable
46.11,usable
44.18,usable
43.87,usable
33.54,usable
82.79,usable
87.51,usable
97.8,usable
103.11,usable
42.97,retake
32.58,retake
47.54,retake
50.97,retake
55.23,retake
48.71,usable
57.77,usable
37.41,usable
48.12,retake
82.82,usable
70.0,usable
61.85,retake
81.18,usable
49.62,retake
27.54,retake
57.17,usable
34.74,retake
2.76,retake
2.15,retake
21.13,retake
47.36,retake
42.52,retake
46.28,retake
1.95,retake
57.7,retake
40.58,retake
54.83,usable
39.13,usable
39.1,usable
53.03,usable
63.45,usable
46.33,usable
52.06,retake
61.28,usable
44.24,usable
44.06,usable
35.36,usable
59.66,usable
31.16,retake
48.31,retake
22.23,retake
39.18,retake
45.99,retake
70.63,retake
27.92,retake
52.67,retake
38.43,retake
41.32,retake
50.3,usable
26.01,retake
31.16,retake
55.35,retake
50.12,usable
49.65,usable
53.94,retake
40.19,retake
44.85,retake
36.8,retake
56.42,retake
50.31,retake
39.52,retake
48.1,usable
65.14,usable
53.74,usable
55.63,usable
36.22,retake
58.65,usable
61.13,usable
60.83,usable
54.77,usable
58.59,usable
45.42,retake
58.03,retake
49.17,retake
32.99,retake
75.29,usable
69.26,usable
71.12,usable
70.55,usable
81.23,usable
65.42,usable
73.6,usable
64.85,usable
74.92,usable
77.65,usable
66.32,usable
67.33,usable
79.93,usable
69.79,usable
60.06,usable
67.24,usable
62.43,usable
51.16,retake
54.91,usable
69.56,usable
58.83,usable
39.36,usable
69.18,usable
45.52,usable
34.03,usable
45.72,usable
37.23,usable
56.32,retake
32.05,usable
66.1,usable
48.64,retake
65.7,usable
51.98,usable
46.99,usable
32.99,usable
33.56,retake
41.18,retake
30.07,retake
37.8,usable
47.68,retake
42.37,retake
26.06,retake
54.53,retake
47.93,retake
58.52,retake
32.9,usable
48.78,usable
56.29,usable
21.63,retake
32.28,retake
32.27,retake
63.18,retake
83.07,retake
43.1,retake
12.58,retake
16.61,usable
19.77,retake
33.82,usable
25.96,retake
16.68,retake
12.83,retake
11.19,retake
11.33,retake
9.11,retake
56.18,retake
12.06,retake
17.22,retake
50.76,retake
49.78,retake
26.12,retake
26.58,usable
11.26,retake
40.08,retake
33.42,retake
57.43,usable
28.17,retake
107.63,usable
14.41,retake
4.76,retake
56.17,usable
66.68,usable
34.56,retake
41.44,retake
77.14,retake
21.11,retake
52.77,usable
25.09,retake
32.42,retake
43.44,retake
33.26,retake
15.24,retake
9.47,retake
19.64,retake
63.07,retake
21.46,retake
8.01,retake
4.94,retake
7.56,retake
30.45,retake
14.62,retake
36.15,retake
12.96,retake
22.46,retake
35.41,retake
20.86,retake
0.97,retake
2.44,retake
5.0,retake
28.41,retake
8.33,retake
3.17,retake
7.77,retake
8.54,retake
22.99,usable
14.99,retake
32.48,usable
30.32,usable
28.27,usable
43.01,usable
